Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2025,11,Austrian Grand Prix,Kick Sauber,BOR,8.0,8.0,4.0,Sauber/Alfa Romeo
2025,11,Austrian Grand Prix,Mercedes,ANT,9.0,19.0,0.0,Mercedes
2025,11,Austrian Grand Prix,Alpine,GAS,10.0,13.0,0.0,Alpine/Renault
2025,11,Austrian Grand Prix,Aston Martin,ALO,11.0,7.0,6.0,Aston Martin/Racing Point/Force India
2025,11,Austrian Grand Prix,Williams,ALB,12.0,17.0,0.0,Williams
2025,11,Austrian Grand Prix,Racing Bulls,HAD,13.0,12.0,0.0,RB/AlphaTauri/Toro Rosso
2025,11,Austrian Grand Prix,Alpine,COL,14.0,15.0,0.0,Alpine/Renault
2025,11,Austrian Grand Prix,Haas F1 Team,BEA,15.0,11.0,0.0,Haas
2025,11,Austrian Grand Prix,Aston Martin,STR,16.0,14.0,0.0,Aston Martin/Racing Point/Force India
2025,11,Austrian Grand Prix,Haas F1 Team,OCO,17.0,10.0,1.0,Haas
2025,11,Austrian Grand Prix,Red Bull Racing,TSU,18.0,16.0,0.0,Red Bull Racing
2025,11,Austrian Grand Prix,Williams,SAI,19.0,20.0,0.0,Williams
2025,11,Austrian Grand Prix,Kick Sauber,HUL,20.0,9.0,2.0,Sauber/Alfa Romeo
2025,12,British Grand Prix,Red Bull Racing,VER,1.0,5.0,10.0,Red Bull Racing
2025,12,British Grand Prix,McLaren,PIA,2.0,2.0,18.0,McLaren
2025,12,British Grand Prix,McLaren,NOR,3.0,1.0,25.0,McLaren
2025,12,British Grand Prix,Mercedes,RUS,4.0,10.0,1.0,Mercedes
2025,12,British Grand Prix,Ferrari,HAM,5.0,4.0,12.0,Ferrari
2025,12,British Grand Prix,Ferrari,LEC,6.0,14.0,0.0,Ferrari
2025,12,British Grand Prix,Mercedes,ANT,7.0,16.0,0.0,Mercedes
2025,12,British Grand Prix,Haas F1 Team,BEA,8.0,11.0,0.0,Haas
2025,12,British Grand Prix,Aston Martin,ALO,9.0,9.0,2.0,Aston Martin/Racing Point/Force India
2025,12,British Grand Prix,Alpine,GAS,10.0,6.0,8.0,Alpine/Renault
2025,12,British Grand Prix,Williams,SAI,11.0,12.0,0.0,Williams
2025,12,British Grand Prix,Red Bull Racing,TSU,12.0,15.0,0.0,Red Bull Racing
2025,12,British Grand Prix,Racing Bulls,HAD,13.0,17.0,0.0,RB/AlphaTauri/Toro Rosso
2025,12,British Grand Prix,Williams,ALB,14.0,8.0,4.0,Williams
2025,12,British Grand Prix,Haas F1 Team,OCO,15.0,13.0,0.0,Haas
2025,12,British Grand Prix,Racing Bulls,LAW,16.0,19.0,0.0,RB/AlphaTauri/Toro Rosso
2025,12,British Grand Prix,Kick Sauber,BOR,17.0,18.0,0.0,Sauber/Alfa Romeo
2025,12,British Grand Prix,Aston Martin,STR,18.0,7.0,6.0,Aston Martin/Racing Point/Force India
2025,12,British Grand Prix,Kick Sauber,HUL,19.0,3.0,15.0,Sauber/Alfa Romeo
2025,12,British Grand Prix,Alpine,COL,20.0,20.0,0.0,Alpine/Renault
2025,13,Belgian Grand Prix,McLaren,NOR,1.0,2.0,18.0,McLaren
2025,13,Belgian Grand Prix,McLaren,PIA,2.0,1.0,25.0,McLaren
2025,13,Belgian Grand Prix,Ferrari,LEC,3.0,3.0,15.0,Ferrari
2025,13,Belgian Grand Prix,Red Bull Racing,VER,4.0,4.0,12.0,Red Bull Racing
2025,13,Belgian Grand Prix,Williams,ALB,5.0,6.0,8.0,Williams
2025,13,Belgian Grand Prix,Mercedes,RUS,6.0,5.0,10.0,Mercedes
2025,13,Belgian Grand Prix,Red Bull Racing,TSU,7.0,13.0,0.0,Red Bull Racing
2025,13,Belgian Grand Prix,Racing Bulls,HAD,8.0,20.0,0.0,RB/AlphaTauri/Toro Rosso
2025,13,Belgian Grand Prix,Racing Bulls,LAW,9.0,8.0,4.0,RB/AlphaTauri/Toro Rosso
2025,13,Belgian Grand Prix,Kick Sauber,BOR,10.0,9.0,2.0,Sauber/Alfa Romeo
2025,13,Belgian Grand Prix,Haas F1 Team,OCO,11.0,15.0,0.0,Haas
2025,13,Belgian Grand Prix,Haas F1 Team,BEA,12.0,11.0,0.0,Haas
2025,13,Belgian Grand Prix,Alpine,GAS,13.0,10.0,1.0,Alpine/Renault
2025,13,Belgian Grand Prix,Kick Sauber,HUL,14.0,12.0,0.0,Sauber/Alfa Romeo
2025,13,Belgian Grand Prix,Williams,SAI,15.0,18.0,0.0,Williams
2025,13,Belgian Grand Prix,Ferrari,HAM,16.0,7.0,6.0,Ferrari
2025,13,Belgian Grand Prix,Alpine,COL,17.0,19.0,0.0,Alpine/Renault
2025,13,Belgian Grand Prix,Mercedes,ANT,18.0,16.0,0.0,Mercedes
2025,13,Belgian Grand Prix,Aston Martin,ALO,19.0,17.0,0.0,Aston Martin/Racing Point/Force India
