Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2018,11,German Grand Prix,Haas F1 Team,GRO,6.0,6.0,8.0,Haas
2018,11,German Grand Prix,Renault,HUL,7.0,5.0,10.0,Alpine/Renault
2018,11,German Grand Prix,Renault,SAI,8.0,12.0,0.0,Alpine/Renault
2018,11,German Grand Prix,Sauber,LEC,9.0,15.0,0.0,Sauber/Alfa Romeo
2018,11,German Grand Prix,Force India,PER,10.0,7.0,6.0,Aston Martin/Racing Point/Force India
2018,11,German Grand Prix,McLaren,ALO,11.0,16.0,0.0,McLaren
2018,11,German Grand Prix,Williams,SIR,12.0,19.0,0.0,Williams
2018,11,German Grand Prix,Sauber,ERI,13.0,9.0,2.0,Sauber/Alfa Romeo
2018,11,German Grand Prix,Mercedes,HAM,14.0,1.0,25.0,Mercedes
2018,11,German Grand Prix,Red Bull Racing,RIC,15.0,20.0,0.0,Red Bull Racing
2018,11,German Grand Prix,Force India,OCO,16.0,8.0,4.0,Aston Martin/Racing Point/Force India
2018,11,German Grand Prix,Toro Rosso,GAS,17.0,14.0,0.0,RB/AlphaTauri/Toro Rosso
2018,11,German Grand Prix,Toro Rosso,HAR,18.0,10.0,1.0,RB/AlphaTauri/Toro Rosso
2018,11,German Grand Prix,Williams,STR,19.0,17.0,0.0,Williams
2018,11,German Grand Prix,McLaren,VAN,20.0,13.0,0.0,McLaren
2018,12,Hungarian Grand Prix,Mercedes,HAM,1.0,1.0,25.0,Mercedes
2018,12,Hungarian Grand Prix,Mercedes,BOT,2.0,5.0,10.0,Mercedes
2018,12,Hungarian Grand Prix,Ferrari,RAI,3.0,3.0,15.0,Ferrari
2018,12,Hungarian Grand Prix,Ferrari,VET,4.0,2.0,18.0,Ferrari
2018,12,Hungarian Grand Prix,Renault,SAI,5.0,9.0,2.0,Alpine/Renault
2018,12,Hungarian Grand Prix,Toro Rosso,GAS,6.0,6.0,8.0,RB/AlphaTauri/Toro Rosso
2018,12,Hungarian Grand Prix,Red Bull Racing,VER,7.0,19.0,0.0,Red Bull Racing
2018,12,Hungarian Grand Prix,Toro Rosso,HAR,8.0,11.0,0.0,RB/AlphaTauri/Toro Rosso
2018,12,Hungarian Grand Prix,Haas F1 Team,MAG,9.0,7.0,6.0,Haas
2018,12,Hungarian Grand Prix,Haas F1 Team,GRO,10.0,10.0,1.0,Haas
2018,12,Hungarian Grand Prix,McLaren,ALO,11.0,8.0,4.0,McLaren
2018,12,Hungarian Grand Prix,Red Bull Racing,RIC,12.0,4.0,12.0,Red Bull Racing
2018,12,Hungarian Grand Prix,Renault,HUL,13.0,12.0,0.0,Alpine/Renault
2018,12,Hungarian Grand Prix,Sauber,ERI,14.0,15.0,0.0,Sauber/Alfa Romeo
2018,12,Hungarian Grand Prix,Williams,STR,15.0,17.0,0.0,Williams
2018,12,Hungarian Grand Prix,McLaren,VAN,16.0,18.0,0.0,McLaren
2018,12,Hungarian Grand Prix,Sauber,LEC,17.0,20.0,0.0,Sauber/Alfa Romeo
2018,12,Hungarian Grand Prix,Force India,OCO,18.0,13.0,0.0,Aston Martin/Racing Point/Force India
2018,12,Hungarian Grand Prix,Force India,PER,19.0,14.0,0.0,Aston Martin/Racing Point/Force India
2018,12,Hungarian Grand Prix,Williams,SIR,20.0,16.0,0.0,Williams
2018,13,Belgian Grand Prix,Mercedes,HAM,1.0,2.0,18.0,Mercedes
2018,13,Belgian Grand Prix,Ferrari,VET,2.0,1.0,25.0,Ferrari
2018,13,Belgian Grand Prix,Racing Point,OCO,3.0,6.0,8.0,Aston Martin/Racing Point/Force India
2018,13,Belgian Grand Prix,Racing Point,PER,4.0,5.0,10.0,Aston Martin/Racing Point/Force India
2018,13,Belgian Grand Prix,Haas F1 Team,GRO,5.0,7.0,6.0,Haas
2018,13,Belgian Grand Prix,Ferrari,RAI,6.0,17.0,0.0,Ferrari
2018,13,Belgian Grand Prix,Red Bull Racing,VER,7.0,3.0,15.0,Red Bull Racing
2018,13,Belgian Grand Prix,Red Bull Racing,RIC,8.0,16.0,0.0,Red Bull Racing
2018,13,Belgian Grand Prix,Haas F1 Team,MAG,9.0,8.0,4.0,Haas
2018,13,Belgian Grand Prix,Mercedes,BOT,10.0,4.0,12.0,Mercedes
2018,13,Belgian Grand Prix,Toro Rosso,GAS,11.0,9.0,2.0,RB/AlphaTauri/Toro Rosso
2018,13,Belgian Grand Prix,Toro Rosso,HAR,12.0,14.0,0.0,RB/AlphaTauri/Toro Rosso
2018,13,Belgian Grand Prix,Sauber,LEC,13.0,18.0,0.0,Sauber/Alfa Romeo
2018,13,Belgian Grand Prix,Sauber,ERI,14.0,10.0,1.0,Sauber/Alfa Romeo
2018,13,Belgian Grand Prix,Renault,HUL,15.0,20.0,0.0,Alpine/Renault
2018,13,Belgian Grand Prix,Renault,SAI,16.0,11.0,0.0,Alpine/Renault
2018,13,Belgian Grand Prix,McLaren,ALO,17.0,19.0,0.0,McLaren
2018,13,Belgian Grand Prix,Williams,SIR,18.0,12.0,0.0,Williams
2018,13,Belgian Grand Prix,Williams,STR,19.0,13.0,0.0,Williams
2018,13,Belgian Grand Prix,McLaren,VAN,20.0,15.0,0.0,McLaren
2018,14,Italian Grand Prix,Ferrari,RAI,1.0,2.0,18.0,Ferrari
2018,14,Italian Grand Prix,Ferrari,VET,2.0,4.0,12.0,Ferrari
2018,14,Italian Grand Prix,Mercedes,HAM,3.0,1.0,25.0,Mercedes
2018,14,Italian Grand Prix,Mercedes,BOT,4.0,3.0,15.0,Mercedes
2018,14,Italian Grand Prix,Red Bull Racing,VER,5.0,5.0,10.0,Red Bull Racing
2018,14,Italian Grand Prix,Haas F1 Team,GRO,6.0,20.0,0.0,Haas
2018,14,Italian Grand Prix,Renault,SAI,7.0,8.0,4.0,Alpine/Renault
2018,14,Italian Grand Prix,Racing Point,OCO,8.0,6.0,8.0,Aston Martin/Racing Point/Force India
2018,14,Italian Grand Prix,Toro Rosso,GAS,9.0,14.0,0.0,RB/AlphaTauri/Toro Rosso
2018,14,Italian Grand Prix,Williams,STR,10.0,9.0,2.0,Williams
2018,14,Italian Grand Prix,Haas F1 Team,MAG,11.0,16.0,0.0,Haas
2018,14,Italian Grand Prix,Williams,SIR,12.0,10.0,1.0,Williams
2018,14,Italian Grand Prix,McLaren,ALO,13.0,18.0,0.0,McLaren
2018,14,Italian Grand Prix,Renault,HUL,14.0,13.0,0.0,Alpine/Renault
2018,14,Italian Grand Prix,Red Bull Racing,RIC,15.0,17.0,0.0,Red Bull Racing
2018,14,Italian Grand Prix,Racing Point,PER,16.0,7.0,6.0,Aston Martin/Racing Point/Force India
2018,14,Italian Grand Prix,Sauber,LEC,17.0,11.0,0.0,Sauber/Alfa Romeo
2018,14,Italian Grand Prix,Toro Rosso,HAR,18.0,19.0,0.0,RB/AlphaTauri/Toro Rosso
